,action,prob,state
54,37,0.0038197874674627424,"hand0:['(2.0, 2.0)', '(2.0, 5.0)', '(2.0, 6.0)', '(3.0, 5.0)', '(3.0, 6.0)', '(4.0, 5.0)', '(6.0, 6.0)'] hand1:['(0.0, 5.0)', '(0.0, 6.0)', '(1.0, 2.0)', '(1.0, 3.0)', '(3.0, 4.0)', '(5.0, 5.0)', '(5.0, 6.0)'] history:[]"
55,56,0.0037303450263058233,"hand0:['(2.0, 2.0)', '(2.0, 5.0)', '(2.0, 6.0)', '(3.0, 5.0)', '(3.0, 6.0)', '(4.0, 5.0)', '(6.0, 6.0)'] hand1:['(0.0, 5.0)', '(0.0, 6.0)', '(1.0, 2.0)', '(1.0, 3.0)', '(3.0, 4.0)', '(5.0, 5.0)', '(5.0, 6.0)'] history:[]"
56,37,0.7573367532411253,"hand0:['(0.0, 4.0)', '(1.0, 4.0)', '(1.0, 6.0)', '(2.0, 2.0)', '(2.0, 4.0)', '(2.0, 5.0)', '(2.0, 6.0)'] hand1:['(0.0, 2.0)', '(0.0, 6.0)', '(2.0, 3.0)', '(3.0, 4.0)', '(4.0, 4.0)', '(4.0, 5.0)', '(5.0, 6.0)'] history:[]"
57,11,0.185306666793569,"hand0:['(0.0, 4.0)', '(1.0, 4.0)', '(1.0, 6.0)', '(2.0, 2.0)', '(2.0, 4.0)', '(2.0, 5.0)', '(2.0, 6.0)'] hand1:['(0.0, 2.0)', '(0.0, 6.0)', '(2.0, 3.0)', '(3.0, 4.0)', '(4.0, 4.0)', '(4.0, 5.0)', '(5.0, 6.0)'] history:[]"
58,28,0.017211928176578708,"hand0:['(0.0, 4.0)', '(1.0, 4.0)', '(1.0, 6.0)', '(2.0, 2.0)', '(2.0, 4.0)', '(2.0, 5.0)', '(2.0, 6.0)'] hand1:['(0.0, 2.0)', '(0.0, 6.0)', '(2.0, 3.0)', '(3.0, 4.0)', '(4.0, 4.0)', '(4.0, 5.0)', '(5.0, 6.0)'] history:[]"
59,48,0.01684739314583976,"hand0:['(0.0, 4.0)', '(1.0, 4.0)', '(1.0, 6.0)', '(2.0, 2.0)', '(2.0, 4.0)', '(2.0, 5.0)', '(2.0, 6.0)'] hand1:['(0.0, 2.0)', '(0.0, 6.0)', '(2.0, 3.0)', '(3.0, 4.0)', '(4.0, 4.0)', '(4.0, 5.0)', '(5.0, 6.0)'] history:[]"
60,42,0.015678992814223098,"hand0:['(0.0, 4.0)', '(1.0, 4.0)', '(1.0, 6.0)', '(2.0, 2.0)', '(2.0, 4.0)', '(2.0, 5.0)', '(2.0, 6.0)'] hand1:['(0.0, 2.0)', '(0.0, 6.0)', '(2.0, 3.0)', '(3.0, 4.0)', '(4.0, 4.0)', '(4.0, 5.0)', '(5.0, 6.0)'] history:[]"
61,45,0.004306154936089639,"hand0:['(0.0, 4.0)', '(1.0, 4.0)', '(1.0, 6.0)', '(2.0, 2.0)', '(2.0, 4.0)', '(2.0, 5.0)', '(2.0, 6.0)'] hand1:['(0.0, 2.0)', '(0.0, 6.0)', '(2.0, 3.0)', '(3.0, 4.0)', '(4.0, 4.0)', '(4.0, 5.0)', '(5.0, 6.0)'] history:[]"
62,34,0.0033121108925744766,"hand0:['(0.0, 4.0)', '(1.0, 4.0)', '(1.0, 6.0)', '(2.0, 2.0)', '(2.0, 4.0)', '(2.0, 5.0)', '(2.0, 6.0)'] hand1:['(0.0, 2.0)', '(0.0, 6.0)', '(2.0, 3.0)', '(3.0, 4.0)', '(4.0, 4.0)', '(4.0, 5.0)', '(5.0, 6.0)'] history:[]"
63,72,0.36436865258299,"hand0:['(0.0, 3.0)', '(0.0, 5.0)', '(0.0, 6.0)', '(2.0, 4.0)', '(2.0, 6.0)', '(4.0, 5.0)', '(5.0, 6.0)'] hand1:['(0.0, 2.0)', '(0.0, 4.0)', '(1.0, 1.0)', '(1.0, 5.0)', '(2.0, 2.0)', '(4.0, 6.0)', '(5.0, 5.0)'] history:[]"
